instance,city,demand_baseline,outsourcing_cost_multiplier,region_multiplier,global_multiplier,model,max_n_shifts,workforce_size,objective_value
paris_db=0.50,paris,0.5,1.8,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,flex,,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.2,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.8,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,2.0,1.5,0.8,partflex,4.0,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,partflex,2.0,20,
paris_db=0.50,paris,0.5,2.5,1.5,0.8,partflex,3.0,20,
